datacompleteness,side,teamname,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,firstblood,team kpm,ckpm,elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,damagetochampions,dpm,damagetakenperminute,totalgold,earnedgold,earned gpm,goldspent,gspd
complete,Blue,JD Gaming,1786,1,24,14,64,24,14,1.0,0.8063,1.2766,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,66630.0,2238.4099,2817.0101,60517,40922.0,1374.7592,54700.0,0.149143
complete,Red,JD Gaming,2213,1,18,11,48,18,11,0.0,0.488,0.7863,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,4.0,79332.0,2150.8902,2628.0976,70689,46738.0,1267.1848,64135.0,0.0632967
complete,Blue,JD Gaming,2080,1,15,15,36,15,15,0.0,0.4327,0.8654,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,4.0,92313.0,2662.875,2553.9519,64503,41909.0,1208.9135,55725.0,-0.0767903
complete,Red,JD Gaming,1504,1,17,6,28,17,6,1.0,0.6782,0.9176,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,1.0,74476.0,2971.117,2823.5904,55898,39179.0,1562.992,47585.0,0.252411
complete,Red,JD Gaming,1692,1,17,10,38,17,10,0.0,0.6028,0.9574,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,10.0,2.0,75775.0,2687.0567,2952.3404,60278,41642.0,1476.6667,50450.0,0.0958612
complete,Blue,JD Gaming,1751,0,6,21,15,6,21,0.0,0.2056,0.9252,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,59673.0,2044.763,3523.1068,48275,29037.0,994.9857,47190.0,-0.15799
complete,Blue,JD Gaming,2043,1,28,17,68,28,17,1.0,0.8223,1.3216,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,4.0,94110.0,2763.8767,3331.6887,65848,43631.0,1281.3803,58745.0,-0.00788436
complete,Blue,JD Gaming,1759,1,13,6,31,13,6,0.0,0.4434,0.6481,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,10.0,3.0,67771.0,2311.6885,2517.3394,56319,36999.0,1262.0466,49960.0,0.0948687
complete,Red,JD Gaming,1779,1,10,6,19,10,6,1.0,0.3373,0.5396,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,9.0,2.0,56967.0,1921.3153,2769.5784,58879,39355.0,1327.3187,53775.0,0.164093
complete,Red,JD Gaming,1985,1,14,10,37,14,10,0.0,0.4232,0.7254,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,92261.0,2788.7456,3195.8992,58581,36956.0,1117.0579,53485.0,0.0273869
complete,Red,JD Gaming,2392,1,20,14,46,20,14,0.0,0.5017,0.8528,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,5.0,92673.0,2324.5736,3039.9833,73356,47580.0,1193.4783,62625.0,-0.0494452
complete,Red,JD Gaming,2039,0,11,17,22,11,17,1.0,0.3237,0.8239,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,10.0,59213.0,1742.4129,3219.3134,58015,35839.0,1054.6052,57500.0,-0.0753138
complete,Blue,JD Gaming,1854,0,18,23,26,18,23,1.0,0.5825,1.3269,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,10.0,69209.0,2239.7735,3817.5081,57418,37129.0,1201.5858,54925.0,-0.0606093
complete,Blue,JD Gaming,1493,0,7,30,18,7,30,0.0,0.2813,1.4869,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,10.0,55936.0,2247.9303,4176.008,40474,23867.0,959.1561,40350.0,-0.211337
complete,Blue,Top Esports,1491,1,23,6,66,23,6,1.0,0.9256,1.167,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,71761.0,2887.7666,2375.0905,54793,38207.0,1537.505,48533.0,0.27446
complete,Red,Top Esports,1805,0,2,15,4,2,15,0.0,0.0665,0.5651,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10.0,36432.0,1211.036,2207.1025,48107,28318.0,941.3186,45800.0,-0.169245
complete,Red,Top Esports,2017,0,6,18,13,6,18,1.0,0.1785,0.7139,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,9.0,57157.0,1700.2578,2755.0025,54360,32409.0,964.0754,52333.0,-0.111285
complete,Red,Top Esports,2491,0,17,21,38,17,21,1.0,0.4095,0.9153,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,8.0,7.0,137851.0,3320.3774,3650.1485,76935,50149.0,1207.9245,74450.0,0.12146
complete,Blue,Top Esports,1491,1,19,8,28,19,8,1.0,0.7646,1.0865,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,8.0,1.0,54301.0,2185.1509,2957.0221,53709,37123.0,1493.8833,46100.0,0.203949
complete,Blue,Top Esports,2047,1,15,3,42,15,3,0.0,0.4397,0.5276,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,9.0,3.0,62535.0,1832.9751,2932.9653,64790,42533.0,1246.6927,55625.0,0.0955969
complete,Red,EDward Gaming,1371,0,6,18,15,6,18,1.0,0.2626,1.0503,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,47209.0,2066.0394,3158.2932,36751,21389.0,936.0613,35035.0,-0.121825
complete,Blue,EDward Gaming,1711,1,15,4,33,15,4,1.0,0.526,0.6663,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,1.0,67664.0,2372.7878,2441.6949,56755,37925.0,1329.924,49475.0,0.138304
complete,Blue,EDward Gaming,2201,1,19,9,46,19,9,1.0,0.5179,0.7633,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,10.0,5.0,86011.0,2344.6888,2338.5825,68641,44813.0,1221.6174,59285.0,0.0410552
complete,Red,EDward Gaming,1567,1,19,1,43,19,1,1.0,0.7275,0.7658,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,66731.0,2555.1117,2535.6988,54394,37033.0,1417.9834,50750.0,0.369143
complete,Red,EDward Gaming,1781,1,18,2,50,18,2,1.0,0.6064,0.6738,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,11.0,2.0,54402.0,1832.7456,2893.5093,61549,42005.0,1415.1039,53425.0,0.208786
complete,Blue,EDward Gaming,1694,0,8,24,20,8,24,1.0,0.2834,1.1334,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,60335.0,2137.013,3660.5667,46374,27717.0,981.7119,44975.0,-0.179758
complete,Red,EDward Gaming,2100,1,15,9,39,15,9,0.0,0.4286,0.6857,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,6.0,83576.0,2387.8857,2939.8,62409,39611.0,1131.7429,58925.0,0.0358454
complete,Red,EDward Gaming,2547,1,18,11,28,18,11,1.0,0.424,0.6832,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,7.0,10.0,124581.0,2934.7703,3313.2862,78290,50933.0,1199.8351,70025.0,-0.102021
complete,Red,EDward Gaming,2520,0,8,9,12,8,9,1.0,0.1905,0.4048,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,5.0,9.0,86919.0,2069.5,2531.8095,71068,43986.0,1047.2857,67310.0,-0.0428873
